Unitprice,Expire date,Outbound number,Total outbound,Pal grossweight,Pal height,Units per pal
0.058,547,9,2441,105.6,1.56,1920
0.954,547,0,0,207.68,1,384
2.385,547,12,23,165.78,1.02,108
5.1,547,0,0,221.04,1.05,72
0,547,0,0,0,0,0
1.11,547,1,1,207.68,1,384
2.515,547,2,4,165.78,1.02,108
0,547,0,0,0,0,0
0.2625,547,0,0,0,0,0
13.354,365,0,0,441.72,1.44,36
4.253,547,0,0,221.04,1.05,72
1.042,547,6,14,207.68,1,384
2.592,547,8,12,165.78,1.02,108
5.425,547,0,0,0,0,0
0,547,0,0,0,0,0
4.321,547,1,2,221.04,0,72
0,547,0,0,0,0,0
2.39,547,3,5,165.78,1.02,108
0,547,0,0,0,0,0
0.976,547,0,0,207.68,1,384
2.9171,547,0,0,165.78,1.02,108
0,547,0,0,0,0,0
17.113,365,1,3,441.72,1.44,36
4.942,547,1,1,221.04,1.05,72
14.783,365,1,1,515.34,1.68,42
19.63,365,0,0,0,0,24
4.61,547,2,3,221.04,1.05,72
0.006,547,9,1336,105.6,1.56,1920
14.919,365,1,1,515.34,1.68,42
4.79,547,0,0,221.04,1.05,72
0.19,547,0,0,0,0,0
0,547,0,0,0,0,0
15.318,365,1,1,515.34,1.68,42
17.02,365,0,0,0,0,24
4.48,547,0,0,0,0,0
15.808,365,1,1,515.34,1.68,42
16.201,365,0,0,515.34,1.68,42
4.303,547,0,0,221.04,1.05,72
16.76,365,0,0,0,0,0
0,365,0,0,0,0,0
0.192,547,10,760,105.6,1.56,1920
0.192,0,0,0,0,0,0
0.992,547,7,19,207.68,1,384
1.67,365,0,0,0,0,0
2.318,547,7,16,165.78,1.02,108
0,365,0,0,0,0.6,25
9.547,547,2,2,243.84,0.72,32
1.29,547,0,0,207.68,1,384
2.28,547,0,0,165.78,1.02,108
1.137,547,1,1,207.68,1,384
1.86,365,74,744,198,1.02,180
2.4,547,4,10,165.78,1.02,108
9.496,547,3,3,243.84,0.72,32
0,547,0,0,0,0,0
0,365,0,0,0,0,0
2.41,547,0,0,0,0,0
0,365,0,0,0,0,0
2.5,547,3,5,165.78,1.02,108
10.141,547,0,0,243.84,0.72,32
15.04,365,0,0,441.72,1.44,36
4.04,547,3,4,221.04,1.05,72
0.2,547,4,1340,105.6,1.56,1920
14.568,365,13,17,515.34,1.68,42
0,547,0,0,0,0,0
16.333,365,2,2,515.34,1.68,42
0.998,547,4,6,207.68,1,384
2.345,547,2,2,165.78,1.02,108
0,547,0,0,0,0,0
0,547,0,0,0,0,0
15.316,365,2,2,515.34,1.68,42
0,365,0,0,0,0,0
0,547,0,0,0,0,0
0,365,0,0,0,0,0
0.106,547,3,360,105.6,1.56,1920
